,name,year,idbm_year,length,director,writers,star,rating,genre
40,Five Easy Pieces,1970,1970,1h 38m,Bob Rafelson,"Carole Eastman,Bob Rafelson","Jack Nicholson,Karen Black,Billy Green Bush",7.4,Drama
41,Flesh Feast,1970,1970,1h 12m,Brad F. Grinter,"Thomas Casey,Brad F. Grinter","Veronica Lake,Phil Philbin,Doug Foster",2.6,"Fantasy,Horror,Mystery"
42,Fools,1970,1970,1h 33m,Tom Gries,Robert Rudelson,"Jason Robards,Katharine Ross,Scott Hylands",5.2,Drama
43,Gas-s-s-s,1970,1970,1h 18m,Roger Corman,George Armitage,"Bob Corff,Elaine Giftos,Bud Cort",4.2,"Comedy,Drama,Sci-Fi"
44,Getting Straight,1970,1970,2h 4m,Richard Rush,"Robert Kaufman,Ken Kolb","Elliott Gould,Candice Bergen,Robert F. Lyons",6.3,"Comedy,Drama,Romance"
45,Gimme Shelter,1970,1970,1h 31m,,,,7.8,"Documentary,Music,Thriller"
46,The Grasshopper,1970,1970,1h 38m,Jerry Paris,"Mark McShane,Jerry Belson,Garry Marshall","Jacqueline Bisset,Jim Brown,Joseph Cotten",5.7,"Drama,Romance"
47,The Great White Hope,1970,1970,1h 43m,Martin Ritt,Howard Sackler,"James Earl Jones,Jane Alexander,Lou Gilbert",6.9,"Drama,Romance,Sport"
48,Halls of Anger,1970,1970,1h 36m,Paul Bogart,"John Herman Shaner,Al Ramrus","Calvin Lockhart,Janet MacLachlan,Jeff Bridges",5.9,Drama
49,The Hawaiians,1970,1970,2h 14m,Tom Gries,"James A. Michener,James R. Webb","Charlton Heston,Tina Chen,Geraldine Chaplin",6.2,"Adventure,Drama"
50,Hercules in New York,1970,1970,1h 32m,Arthur Allan Seidelman,Aubrey Wisberg,"Arnold Stang,Arnold Schwarzenegger,Deborah Loomis",3.3,"Adventure,Comedy,Fantasy"
51,"Hi, Mom!",1970,1970,1h 27m,Brian De Palma,"Brian De Palma,Charles Hirsch","Robert De Niro,Allen Garfield,Lara Parker",6.2,"Comedy,Drama"
52,The Honeymoon Killers,1970,1970,1h 47m,"Leonard Kastle,Martin Scorsese,Donald Volkman",Leonard Kastle,"Shirley Stoler,Tony Lo Bianco,Mary Jane Higby",7.0,"Crime,Drama,Romance"
53,Hornets' Nest,1970,1970,1h 50m,"Phil Karlson,Franco Cirino","S.S. Schweitzer,Stanley Colbert","Rock Hudson,Sylva Koscina,Sergio Fantoni",5.8,"Action,Drama,War"
54,House of Dark Shadows,1970,1970,1h 37m,Dan Curtis,"Sam Hall,Gordon Russell","Jonathan Frid,Grayson Hall,Kathryn Leigh Scott",6.4,"Drama,Fantasy,Horror"
55,How Do I Love Thee?,1970,1970,1h 50m,Michael Gordon,"Peter De Vries,Everett Freeman,Karl Tunberg","Jackie Gleason,Maureen O'Hara,Shelley Winters",5.3,"Comedy,Drama"
56,Husbands,1970,1970,2h 34m,John Cassavetes,John Cassavetes,"Ben Gazzara,Peter Falk,John Cassavetes",7.3,"Comedy,Drama"
57,I Love My Wife,1970,1970,1h 38m,Mel Stuart,Robert Kaufman,"Elliott Gould,Brenda Vaccaro,Angel Tompkins",5.0,Comedy
58,I Never Sang for My Father,1970,1970,1h 32m,Gilbert Cates,Robert Anderson,"Melvyn Douglas,Gene Hackman,Dorothy Stickney",7.5,"Drama,Music"
59,I Walk the Line,1970,1970,1h 37m,John Frankenheimer,"Alvin Sargent,Madison Jones","Gregory Peck,Tuesday Weld,Estelle Parsons",6.6,Drama
60,The Invincible Six,1970,1970,,Jean Negulesco,"Michael Barrett,Guy Elmes,Chester Erskine","Stuart Whitman,Elke Sommer,Curd Jürgens",5.6,"Action,Adventure"
61,Jenny,1970,,,,,,,
62,Joe,1970,,,,,,,
63,Kelly's Heroes,1970,1970,2h 24m,Brian G. Hutton,Troy Kennedy-Martin,"Clint Eastwood,Telly Savalas,Don Rickles",7.6,"Adventure,Comedy,War"
64,King: A Filmed Record... Montgomery to Memphis,1970,1970,,"Sidney Lumet,Joseph L. Mankiewicz","Mitchell Grayson,Ely A. Landau","Paul Newman,Joanne Woodward,Ruby Dee",7.6,"Documentary,Biography,History"
65,The Kremlin Letter,1970,1970,2h,John Huston,"Noel Behn,John Huston,Gladys Hill","Bibi Andersson,Richard Boone,Nigel Green",6.3,"Crime,Drama,Thriller"
66,The Lady in the Car with Glasses and a Gun,1970,1970,1h 45m,Anatole Litvak,"Sébastien Japrisot,Anatole Litvak,Richard Harris","Samantha Eggar,Oliver Reed,Stéphane Audran",6.1,Drama
67,The Landlord,1970,2015,1h 27m,Victor Zarcoff,Victor Zarcoff,"Neville Archambault,Sean Carrigan,PJ McCabe",5.1,"Crime,Drama,Horror"
68,Land Raiders,1970,1969,1h 41m,Nathan Juran,"Jesse Lasky Jr.,Ken Pettus,Pat Silver","Telly Savalas,George Maharis,Arlene Dahl",5.3,"Action,Western"
69,The Last Escape,1970,1975,1h 30m,Richard Compton,Richard Compton,"Nick Nolte,Don Johnson,Robin Mattson",5.6,Drama
70,Last of the Mobile Hot Shots,1970,1970,1h 40m,Sidney Lumet,"Tennessee Williams,Gore Vidal","James Coburn,Lynn Redgrave,Robert Hooks",5.2,Drama
71,The Last Warrior,1970,2017,1h 54m,Dmitriy Dyachenko,"Pavel Danilov,Vasiliy Kutsenko,Vitaliy Shlyappo","Viktor Khorinyak,Mila Sivatskaya,Ekaterina Vilkova",6.5,"Action,Adventure,Comedy"
72,The Lawyer,1970,,45m,,,,7.0,"Crime,Drama,Mystery"
73,The Liberation of L.B. Jones,1970,1970,1h 42m,William Wyler,"Jesse Hill Ford,Stirling Silliphant","Lee J. Cobb,Anthony Zerbe,Roscoe Lee Browne",6.8,"Crime,Drama,Romance"
74,Little Big Man,1970,1970,2h 19m,Arthur Penn,"Thomas Berger,Calder Willingham","Dustin Hoffman,Faye Dunaway,Chief Dan George",7.6,"Adventure,Comedy,Drama"
75,Little Fauss and Big Halsy,1970,1970,1h 39m,Sidney J. Furie,Charles Eastman,"Robert Redford,Michael J. Pollard,Lauren Hutton",5.9,Drama
76,Love Story,1970,1970,1h 40m,Arthur Hiller,Erich Segal,"Ali MacGraw,Ryan O'Neal,John Marley",6.9,"Drama,Romance"
77,Lovers and Other Strangers,1970,1970,1h 44m,Cy Howard,"Joseph Bologna,Renée Taylor,David Zelag Goodman","Gig Young,Bea Arthur,Bonnie Bedelia",6.6,Comedy
78,Loving,1970,2017,,Esteban Crespo,"Esteban Crespo,Mario Fernandez Alonso","María Pedraza,Pol Monen,Natalia Tena",5.2,"Drama,Romance"
79,The Man from O.R.G.Y.,1970,1970,1h 32m,James Hill,Ted Mark,"Robert Walker Jr.,Steve Rossi,Slappy White",3.9,"Comedy,Crime"
80,M*A*S*H,1970,,TV-PGTV-PG,,,,8.4,"Comedy,Drama,War"
81,Macho Callahan,1970,1970,1h 39m,Bernard L. Kowalski,"Richard Carr,Cliff Gould","David Janssen,Jean Seberg,Lee J. Cobb",5.3,Western
82,Maidstone,1970,1970,,Norman Mailer,Norman Mailer,"Norman Mailer,Rip Torn,Paul Austin",4.9,Drama
83,A Man Called Horse,1970,1970,1h 54m,Elliot Silverstein,"Jack DeWitt,Dorothy M. Johnson,Gregory Crosby","Richard Harris,Judith Anderson,Jean Gascon",6.9,"Adventure,Drama,Western"
84,The McMasters,1970,1970,1h 30m,Alf Kjellin,Harold Jacob Smith,"Burl Ives,Brock Peters,David Carradine",6.0,"Action,Drama,Western"
85,The Molly Maguires,1970,1970,2h 4m,Martin Ritt,"Arthur H. Lewis,Walter Bernstein","Sean Connery,Richard Harris,Samantha Eggar",6.9,"Drama,History"
86,Monte Walsh,1970,,TV-14TV-14,Simon Wincer,"Michael Brandman,Robert B. Parker,David Zelag Goodman","Tom Selleck,Isabella Rossellini,Keith Carradine",7.1,"Romance,Western"
87,The Moonshine War,1970,1970,1h 40m,Richard Quine,Elmore Leonard,"Patrick McGoohan,Richard Widmark,Alan Alda",5.9,"Comedy,Crime,Drama"
88,Move,1970,1970,1h 30m,Stuart Rosenberg,"Joel Lieber,Stan Hart","Elliott Gould,Paula Prentiss,Geneviève Waïte",5.1,"Comedy,Fantasy"
89,"My Lover, My Son",1970,1970,1h 36m,John Newland,"Edward Grierson,Jenni Hall,William Marchant","Romy Schneider,Donald Houston,Dennis Waterman",5.1,Drama
90,Myra Breckinridge,1970,1970,1h 34m,Michael Sarne,"Gore Vidal,Michael Sarne,David Giler","Mae West,John Huston,Raquel Welch",4.5,Comedy
91,Nam's Angels,1970,1970,1h 35m,Jack Starrett,Alan Caillou,"William Smith,Bernie Hamilton,Adam Roarke",5.4,"Action,Drama,Thriller"
92,No Blade of Grass,1970,1970,1h 36m,Cornel Wilde,"Sean Forestal,Cornel Wilde,John Christopher","Nigel Davenport,Jean Wallace,John Hamill",5.9,"Drama,Sci-Fi"
93,Norwood,1970,1970,1h 36m,Jack Haley Jr.,"Charles Portis,Marguerite Roberts","Glen Campbell,Kim Darby,Joe Namath",5.4,Comedy
94,On a Clear Day You Can See Forever,1970,1970,2h 9m,Vincente Minnelli,Alan Jay Lerner,"Barbra Streisand,Yves Montand,Bob Newhart",6.4,"Comedy,Drama,Fantasy"
95,One More Time,1970,2015,1h 38m,Robert Edwards,Robert Edwards,"Christopher Walken,Amber Heard,Kelli Garner",4.9,"Comedy,Drama,Music"
96,The Only Game in Town,1970,1970,1h 53m,George Stevens,Frank D. Gilroy,"Elizabeth Taylor,Warren Beatty,Charles Braswell",5.8,"Comedy,Drama,Romance"
97,The Out-of-Towners,1970,1999,1h 30m,Sam Weisman,"Neil Simon,Marc Lawrence","Steve Martin,Goldie Hawn,John Cleese",5.5,Comedy
98,The Owl and the Pussycat,1970,1970,1h 35m,Herbert Ross,"Bill Manhoff,Buck Henry","Barbra Streisand,George Segal,Robert Klein",6.5,"Comedy,Romance"
99,Patton,1970,1970,2h 52m,Franklin J. Schaffner,"Francis Ford Coppola,Edmund H. North,Ladislas Farago","George C. Scott,Karl Malden,Stephen Young",7.9,"Biography,Drama,War"
100,The People Next Door,1970,1970,1h 33m,David Greene,J.P. Miller,"Eli Wallach,Julie Harris,Deborah Winters",6.4,Drama
101,The Phantom Tollbooth,1970,1970,1h 30m,"Chuck Jones,Abe Levitow,Dave Monahan","Chuck Jones,Sam Rosen,Norton Juster","Butch Patrick,Hans Conried,Mel Blanc",6.9,"Animation,Adventure,Comedy"
102,The Phynx,1970,1970,1h 21m,"Lee H. Katzin,Robert McKimson","Bob Booker,George Foster,Stan Cornyn","Michael A. Miller,Ray Chippeway,Dennis Larden",4.6,"Comedy,Music"
103,Pieces of Dreams,1970,1970,1h 40m,Daniel Haller,"William E. Barrett,Roger O. Hirson,John McCollam","Robert Forster,Lauren Hutton,Will Geer",5.0,Drama
104,Pigeons,1970,1970,1h 17m,Andy Milligan,Andy Milligan,"Julie Shaw,Berwick Kaler,Elaine Shore",5.8,Drama
105,Promise at Dawn,1970,2017,,Eric Barbier,"Eric Barbier,Marie Eynard,Romain Gary","Pierre Niney,Charlotte Gainsbourg,Didier Bourdon",7.2,"Biography,Drama,Romance"
106,Pufnstuf,1970,1970,1h 38m,Hollingsworth Morse,"John Fenton Murray,Si Rose","Jack Wild,Billie Hayes,Martha Raye",6.7,"Adventure,Comedy,Family"
107,"Pussycat, Pussycat, I Love You",1970,1970,1h 40m,Rod Amateau,"Rod Amateau,Woody Allen","Ian McShane,Anna Calder-Marshall,John Gavin",4.5,Comedy
108,Puzzle of a Downfall Child,1970,1970,1h 45m,Jerry Schatzberg,"Jerry Schatzberg,Carole Eastman","Faye Dunaway,Barry Primus,Viveca Lindfors",6.6,Drama
109,R. P. M.,1970,,,,,,,Documentary
110,"Rabbit, Run",1970,1970,1h 34m,Jack Smight,"John Updike,Howard B. Kreitsek","James Caan,Anjanette Comer,Carrie Snodgress",5.5,Drama
111,The Rebel Rousers,1970,1970,1h 18m,Martin B. Cohen,"Martin B. Cohen,Michael Kars,Abe Polsky","Cameron Mitchell,Bruce Dern,Diane Ladd",4.1,"Crime,Drama"
112,The Revolutionary,1970,1971,,Giannis Dalianidis,"Giannis Dalianidis,Grigorios Xenopoulos","Kostas Prekas,Betty Livanou,Dionysis Papagiannopoulos",5.4,Drama
113,Rio Lobo,1970,1970,1h 54m,Howard Hawks,"Burton Wohl,Leigh Brackett","John Wayne,Jorge Rivero,Jennifer O'Neill",6.8,"War,Western"
114,Ritual of Evil,1970,,1h 38m,Robert Day,"Robert Presnell Jr.,Richard Alan Simmons","Louis Jourdan,Anne Baxter,Diana Hyland",5.6,"Drama,Horror"
115,Savage Intruder,1970,1970,1h 40m,Donald Wolfe,Donald Wolfe,"Miriam Hopkins,David Garfield,Gale Sondergaard",5.6,"Horror,Thriller"
116,Skullduggery,1970,1970,1h 45m,"Gordon Douglas,Richard Wilson","Nelson Gidding,Vercors","Burt Reynolds,Susan Clark,Roger C. Carmel",4.6,Adventure
117,Soldier Blue,1970,1970,1h 55m,Ralph Nelson,"Theodore V. Olsen,John Gay","Candice Bergen,Peter Strauss,Donald Pleasence",6.9,Western
118,Something for Everyone,1970,1970,1h 52m,Harold Prince,"Harry Kressing,Hugh Wheeler","Angela Lansbury,Michael York,Anthony Higgins",7.2,"Comedy,Crime,Drama"
119,Song of Norway,1970,1970,2h 18m,Andrew L. Stone,"Homer Curran,Milton Lazarus,Andrew L. Stone","Florence Henderson,Toralv Maurstad,Christina Schollin",4.1,"Biography,Drama,Musical"
120,Start the Revolution Without Me,1970,1970,1h 30m,Bud Yorkin,"Fred Freeman,Lawrence J. Cohen","Gene Wilder,Donald Sutherland,Hugh Griffith",6.5,"Comedy,History"
121,The Strawberry Statement,1970,1970,1h 49m,Stuart Hagmann,"James Kunen,Israel Horovitz","Bruce Davison,Kim Darby,Bud Cort",6.7,"Drama,Romance"
122,Street Scenes,1970,1970,,,,,6.5,Documentary
123,Sunflower,1970,,36m,,,,7.5,"Comedy,Crime"
124,Suppose They Gave a War and Nobody Came,1970,1970,1h 53m,Hy Averback,"Hal Captain,Don McGuire","Brian Keith,Tony Curtis,Ernest Borgnine",5.5,"Comedy,Drama"
125,"Tell Me That You Love Me, Junie Moon",1970,1970,1h 53m,Otto Preminger,Marjorie Kellogg,"Liza Minnelli,Ken Howard,Robert Moore",6.1,"Comedy,Drama,Romance"
126,There Was a Crooked Man...,1970,1970,2h 6m,Joseph L. Mankiewicz,"David Newman,Robert Benton","Kirk Douglas,Henry Fonda,Hume Cronyn",6.9,"Comedy,Western"
127,They Call Me MISTER Tibbs!,1970,1970,1h 48m,Gordon Douglas,"Alan Trustman,James R. Webb,John Ball","Sidney Poitier,Martin Landau,Barbara McNair",6.1,"Crime,Drama,Mystery"
128,...tick...tick...tick...,1970,1970,1h 40m,Ralph Nelson,James Lee Barrett,"Jim Brown,George Kennedy,Fredric March",6.7,"Drama,Action"
129,Tiger by the Tail,1970,1970,1h 39m,R.G. Springsteen,Charles A. Wallace,"Christopher George,Tippi Hedren,Dean Jagger",5.7,"Drama,Thriller"
130,Togetherness,1970,,TV-MATV-MA,,,,7.5,"Comedy,Drama,Romance"
131,Too Late the Hero,1970,1970,2h 25m,Robert Aldrich,"Robert Aldrich,Robert Sherman,Lukas Heller","Michael Caine,Cliff Robertson,Ian Bannen",6.7,"Action,Drama,War"
132,Tora! Tora! Tora!,1970,1970,2h 24m,"Richard Fleischer,Kinji Fukasaku,Toshio Masuda","Larry Forrester,Hideo Oguni,Ryûzô Kikushima","Martin Balsam,Sô Yamamura,Jason Robards",7.5,"Action,Drama,History"
133,Trash,1970,2020,,"Francesco Dafano,Luca Della Grotta","Francesco Dafano,Andrea Nobile","Rossy de Palma,Dave Willis,Marc Thompson",5.9,"Animation,Adventure,Comedy"
134,The Traveling Executioner,1970,1970,1h 35m,Jack Smight,Garrie Bateson,"Stacy Keach,Marianna Hill,Bud Cort",6.3,"Comedy,Drama,Western"
135,The Twelve Chairs,1970,1970,1h 34m,Mel Brooks,"Ilya Ilf,Yevgeni Petrov,Elizabeth Hill","Mel Brooks,Ron Moody,Frank Langella",6.5,Comedy
136,Two Mules for Sister Sara,1970,1970,1h 56m,Don Siegel,"Budd Boetticher,Albert Maltz","Clint Eastwood,Shirley MacLaine,Manolo Fábregas",7.0,"Adventure,Romance,War"
137,Up in the Cellar,1970,1970,1h 34m,Theodore J. Flicker,"Angus Hall,Theodore J. Flicker","Wes Stern,Joan Collins,Larry Hagman",5.1,"Comedy,Romance"
138,WUSA,1970,1970,1h 55m,Stuart Rosenberg,Robert Stone,"Paul Newman,Joanne Woodward,Anthony Perkins",5.5,"Drama,Romance"
139,A Walk in the Spring Rain,1970,1970,1h 38m,Guy Green,"Rachel Maddux,Stirling Silliphant","Ingrid Bergman,Anthony Quinn,Fritz Weaver",6.1,"Drama,Romance"
140,Watermelon Man,1970,1970,1h 40m,Melvin Van Peebles,Herman Raucher,"Godfrey Cambridge,Estelle Parsons,Howard Caine",6.6,Comedy
141,The Way We Live Now,1970,,TV-14TV-14,,,,7.6,"Drama,Romance"
142,What Do You Say to a Naked Lady?,1970,1970,1h 25m,Allen Funt,Allen Funt,"Joie Addison,Laura Huston,Martin Meyers",5.8,"Documentary,Comedy"
143,Where's Poppa?,1970,1970,1h 22m,Carl Reiner,Robert Klane,"George Segal,Ruth Gordon,Ron Leibman",6.5,Comedy
144,Which Way to the Front?,1970,1970,1h 36m,Jerry Lewis,"Gerald Gardner,Dee Caruso,Dick Miller","Jerry Lewis,Jan Murray,John Wood",4.7,"Comedy,War"
145,The Wild Country,1970,1970,1h 40m,Robert Totten,"Calvin Clements Jr.,Paul Savage,Ralph Moody","Steve Forrest,Vera Miles,Ron Howard",6.3,"Action,Adventure,Comedy"
146,Woodstock,1970,1970,3h 4m,,,,8.2,"Documentary,History,Music"
147,The Yin and the Yang of Mr. Go,1970,1970,1h 29m,Burgess Meredith,"Burgess Meredith,Joseph Zucchero,Alvin Ostroff","James Mason,Jack MacGowran,Irene Tsu",3.4,"Fantasy,Mystery,Thriller"
148,You Can't Win 'Em All,1970,1970,1h 37m,Peter Collinson,Leo Gordon,"Tony Curtis,Charles Bronson,Michèle Mercier",5.8,"Action,Adventure,Comedy"
149,Zabriskie Point,1970,1970,1h 53m,Michelangelo Antonioni,"Michelangelo Antonioni,Franco Rossetti,Sam Shepard","Mark Frechette,Daria Halprin,Paul Fix",7.0,Drama
150,Zig Zag,1970,1997,1h 58m,Jeb Stuart,Jeb Stuart,"Danny Glover,Dennis Quaid,Claudia Stedelin",6.4,"Crime,Mystery,Thriller"
151,200 Motels,1971,1971,1h 38m,"Tony Palmer,Frank Zappa","Frank Zappa,Tony Palmer,Mark Volman","Mark Volman,Howard Kaylan,Ian Underwood",5.8,"Comedy,Fantasy,Music"
152,The Anderson Tapes,1971,1971,1h 39m,Sidney Lumet,"Lawrence Sanders,Frank Pierson","Sean Connery,Dyan Cannon,Martin Balsam",6.4,"Action,Crime,Thriller"
153,The Andromeda Strain,1971,1971,2h 11m,Robert Wise,"Michael Crichton,Nelson Gidding","James Olson,Arthur Hill,David Wayne",7.2,"Mystery,Sci-Fi,Thriller"
154,Bananas,1971,1971,1h 22m,Woody Allen,"Woody Allen,Mickey Rose","Woody Allen,Louise Lasser,Carlos Montalbán",7.0,Comedy
155,The Barefoot Executive,1971,1971,1h 36m,Robert Butler,"Joseph L. McEveety,Lila Garrett,Bernie Kahn","Kurt Russell,Joe Flynn,Harry Morgan",6.0,"Comedy,Family"
156,The Battle of Love's Return,1971,1971,1h 22m,Lloyd Kaufman,Lloyd Kaufman,"Lloyd Kaufman,Lynn Lowry,Stanley Kaufman",4.0,Comedy
157,Bedknobs and Broomsticks,1971,1971,1h 57m,"Robert Stevenson,Ward Kimball","Ralph Wright,Ted Berman,Bill Walsh","Angela Lansbury,David Tomlinson,Roddy McDowall",7.1,"Animation,Adventure,Comedy"
158,Been Down So Long It Looks Like Up to Me,1971,1971,1h 30m,Jeffrey Young,"Richard Farina,Robert Schlitt","Barry Primus,David Downing,Susan Tyrrell",5.5,Drama
159,The Beguiled,1971,2017,1h 33m,Sofia Coppola,"Sofia Coppola,Thomas Cullinan,Albert Maltz","Nicole Kidman,Kirsten Dunst,Elle Fanning",6.3,"Drama,Thriller,War"
160,Believe in Me,1971,2006,2h 11m,Robert Collector,"Robert Collector,Harold Keith","Jeffrey Donovan,Samantha Mathis,Doris Hargrave",7.1,"Drama,Sport"
161,The Big Doll House,1971,1971,1h 35m,Jack Hill,Don Spencer,"Roberta Collins,Pam Grier,Judith Brown",5.9,"Action,Drama,Thriller"
162,Big Jake,1971,1971,1h 50m,"George Sherman,John Wayne","Harry Julian Fink,Rita M. Fink","John Wayne,Richard Boone,Maureen O'Hara",7.1,Western
163,Billy Jack,1971,1971,1h 54m,Tom Laughlin,"Tom Laughlin,Delores Taylor","Tom Laughlin,Delores Taylor,Clark Howat",6.2,"Action,Drama,Western"
164,Black Noon,1971,,Not RatedNot Rated,Bernard L. Kowalski,Andrew J. Fenady,"Roy Thinnes,Yvette Mimieux,Ray Milland",5.9,"Horror,Western"
165,Bless the Beasts and Children,1971,1971,1h 49m,Stanley Kramer,"Glendon Swarthout,Mac Benoff","Bill Mumy,Barry Robins,Miles Chapin",6.7,"Comedy,Drama"
166,Blood and Lace,1971,1971,1h 27m,Philip S. Gilbert,Gil Lasky,"Gloria Grahame,Melody Patterson,Milton Selzer",5.5,Horror
167,Blood Thirst,1971,,PGPG,,,,6.8,Horror
168,Born to Win,1971,1971,1h 28m,Ivan Passer,"David Scott Milton,Ivan Passer","George Segal,Paula Prentiss,Karen Black",5.6,"Comedy,Crime,Drama"
169,Boys in the Sand,1971,2020,2h 1m,Joe Mantello,"Mart Crowley,Ned Martel","Jim Parsons,Zachary Quinto,Matt Bomer",6.8,Drama
170,The Boy Friend,1971,1971,2h 17m,Ken Russell,"Ken Russell,Sandy Wilson","Twiggy,Christopher Gable,Max Adrian",6.9,"Comedy,Musical,Romance"
171,Brian's Song,1971,,GG,Buzz Kulik,"William Blinn,Gale Sayers,Al Silverman","James Caan,Billy Dee Williams,Jack Warden",7.6,"Biography,Drama,Sport"
172,The Bridge in the Jungle,1971,1970,1h 27m,Pancho Kohner,"B. Traven,Pancho Kohner","John Huston,Charles Robinson,Katy Jurado",5.2,"Adventure,Drama"
173,Brother John,1971,1971,1h 35m,James Goldstone,Ernest Kinoy,"Sidney Poitier,Will Geer,Bradford Dillman",6.5,"Drama,Sci-Fi"
174,B.S. I Love You,1971,1971,1h 39m,Steven Hilliard Stern,Steven Hilliard Stern,"Peter Kastner,JoAnna Cameron,Louise Sorel",4.0,"Comedy,Romance"
175,Bunny O'Hare,1971,1971,1h 31m,Gerd Oswald,"Stanley Z. Cherry,Coslough Johnson","Bette Davis,Ernest Borgnine,Jack Cassidy",6.1,Comedy
176,Cain's Cutthroats,1971,1970,1h 35m,Ken Osborne,"Wilton Denmark,Ralph Luce,Ken Osborne","John Carradine,Scott Brady,Robert Dix",5.1,"Action,Comedy,Drama"
177,Carnal Knowledge,1971,1971,1h 38m,Mike Nichols,Jules Feiffer,"Jack Nicholson,Candice Bergen,Art Garfunkel",7.0,Drama
178,Chandler,1971,1971,1h 25m,Paul Magwood,"Paul Magwood,John Sacret Young","Warren Oates,Leslie Caron,Alex Dreier",4.5,"Crime,Drama"
179,Catlow,1971,1971,1h 41m,Sam Wanamaker,"Scot Finch,James Griffith,Louis L'Amour","Yul Brynner,Richard Crenna,Leonard Nimoy",5.6,"Comedy,Western"
180,The Christian Licorice Store,1971,1971,1h 30m,James Frawley,Floyd Mutrux,"Beau Bridges,Maud Adams,Gilbert Roland",5.4,"Drama,Comedy"
181,Chrome and Hot Leather,1971,1971,1h 31m,Lee Frost,"Michael Haynes,David Neibel,Don Tait","William Smith,Tony Young,Michael Haynes",5.2,"Action,Drama"
182,City Beneath the Sea,1971,,GG,Irwin Allen,"John Meredyth Lucas,Irwin Allen","Stuart Whitman,Rosemary Forsyth,Robert Colbert",5.3,"Action,Adventure,Sci-Fi"
183,Clay Pigeon,1971,1949,1h 3m,Richard Fleischer,Carl Foreman,"Bill Williams,Barbara Hale,Richard Quine",6.5,"Drama,Film-Noir"
184,A Clockwork Orange,1971,1971,2h 16m,Stanley Kubrick,"Stanley Kubrick,Anthony Burgess","Malcolm McDowell,Patrick Magee,Michael Bates",8.3,"Crime,Sci-Fi"
185,Cold Turkey,1971,1971,1h 39m,Norman Lear,"Norman Lear,William Price Fox,Margaret Rau","Dick Van Dyke,Pippa Scott,Tom Poston",6.7,Comedy
186,Cry Uncle!,1971,1971,1h 27m,John G. Avildsen,"David Odell,Michael Brett,Allen Garfield","Jackson Beck,Pamela Gruen,Allen Garfield",5.1,"Comedy,Crime,Mystery"
187,Day of the Wolves,1971,,1h 5m,,,,7.7,"Action,Crime,Drama"
188,The Deserter,1971,1954,1h 19m,Lesley Selander,"Don Martin,L.L. Foreman","Sterling Hayden,Coleen Gray,Keith Larsen",5.6,"Romance,Western"
189,Desperate Characters,1971,1971,1h 37m,Frank D. Gilroy,"Paula Fox,Frank D. Gilroy","Shirley MacLaine,Kenneth Mars,Sada Thompson",6.1,Drama
190,Diamonds Are Forever,1971,1971,2h,Guy Hamilton,"Richard Maibaum,Tom Mankiewicz,Ian Fleming","Sean Connery,Jill St. John,Charles Gray",6.6,"Action,Adventure,Thriller"
191,Dirty Harry,1971,1971,1h 42m,"Don Siegel,Clint Eastwood","Harry Julian Fink,Rita M. Fink,Dean Riesner","Clint Eastwood,Andrew Robinson,Harry Guardino",7.7,"Action,Crime,Thriller"
192,Doc,1971,,55m,,,,7.2,Drama
193,Doctors' Wives,1971,1971,1h 41m,George Schaefer,"Frank Slaughter,Daniel Taradash","Dyan Cannon,Richard Crenna,Gene Hackman",4.5,Drama
194,Dollars,1971,,TV-PGTV-PG,,,,6.3,"Drama,Romance"
195,Dracula vs. Frankenstein,1971,1970,1h 27m,"Tulio Demicheli,Hugo Fregonese,Antonio Isasi-Isasmendi",Paul Naschy,"Michael Rennie,Karin Dor,Craig Hill",4.1,"Horror,Sci-Fi"
196,"Drive, He Said",1971,1971,1h 35m,Jack Nicholson,"Jeremy Larner,Jack Nicholson,Terrence Malick","William Tepper,Karen Black,Michael Margotta",5.8,"Comedy,Drama,Sport"
197,Duel,1971,,PGPG,Steven Spielberg,Richard Matheson,"Dennis Weaver,Jacqueline Scott,Eddie Firestone",7.6,"Action,Thriller"
198,Escape from the Planet of the Apes,1971,1971,1h 38m,Don Taylor,"Paul Dehn,Pierre Boulle","Roddy McDowall,Kim Hunter,Bradford Dillman",6.3,"Action,Sci-Fi"
199,Evel Knievel,1971,,30m,Michael O'Herlihy,Richard DeLong Adams,"Sam Elliott,Noble Willingham,Gary Barton",6.2,"Adventure,Comedy"
200,Fiddler on the Roof,1971,1971,3h 1m,Norman Jewison,"Sholom Aleichem,Arnold Perl,Joseph Stein","Topol,Norma Crane,Leonard Frey",8.0,"Drama,Family,Musical"
201,Fools' Parade,1971,1971,1h 38m,Andrew V. McLaglen,"Davis Grubb,James Lee Barrett","James Stewart,George Kennedy,Anne Baxter",6.5,"Comedy,Drama,Thriller"
202,Four Rode Out,1971,1969,1h 30m,John Peyser,"Dick Miller,Paul Harrison,Don Balluck","Pernell Roberts,Sue Lyon,Julián Mateos",4.3,"Romance,Western"
203,The French Connection,1971,1971,1h 44m,William Friedkin,"Ernest Tidyman,Robin Moore","Gene Hackman,Roy Scheider,Fernando Rey",7.7,"Action,Crime,Drama"
204,The Gang That Couldn't Shoot Straight,1971,1971,1h 36m,James Goldstone,"Jimmy Breslin,Waldo Salt","Jerry Orbach,Leigh Taylor-Young,Jo Van Fleet",4.9,"Comedy,Crime"
