,name,year,idbm_year,length,director,writers,star,rating,genre
9139,The Woman in the Fifth,2012,2011,1h 24m,Pawel Pawlikowski,"Douglas Kennedy,Pawel Pawlikowski","Ethan Hawke,Kristin Scott Thomas,Joanna Kulig",5.3,"Drama,Mystery,Thriller"
9140,Your Sister's Sister,2012,2011,1h 30m,Lynn Shelton,Lynn Shelton,"Mark Duplass,Emily Blunt,Rosemarie DeWitt",6.7,"Comedy,Drama,Romance"
9141,Kumaré,2012,2011,1h 24m,Vikram Gandhi,Eklavya Sakpal,"Vikram Gandhi,Toby,Greg",7.5,Documentary
9142,Abraham Lincoln: Vampire Hunter,2012,2012,1h 45m,Timur Bekmambetov,Seth Grahame-Smith,"Benjamin Walker,Rufus Sewell,Dominic Cooper",5.9,"Action,Fantasy,Horror"
9143,Brave,2012,2012,1h 33m,"Mark Andrews,Brenda Chapman,Steve Purcell","Brenda Chapman,Mark Andrews,Steve Purcell","Kelly Macdonald,Billy Connolly,Emma Thompson",7.1,"Animation,Adventure,Comedy"
9144,Seeking a Friend for the End of the World,2012,2012,1h 41m,Lorene Scafaria,Lorene Scafaria,"Steve Carell,Keira Knightley,Melanie Lynskey",6.7,"Adventure,Comedy,Drama"
9145,The Invisible War,2012,2012,1h 33m,Kirby Dick,"Kirby Dick,Amy Ziering,Douglas Blush","Amy Ziering,Kirby Dick,Kori Cioca",7.6,"Documentary,Crime"
9146,To Rome with Love,2012,2012,1h 52m,Woody Allen,Woody Allen,"Woody Allen,Penélope Cruz,Jesse Eisenberg",6.3,"Comedy,Music,Romance"
9147,Beasts of the Southern Wild,2012,2012,1h 33m,Benh Zeitlin,"Lucy Alibar,Benh Zeitlin","Quvenzhané Wallis,Dwight Henry,Levy Easterly",7.3,"Adventure,Drama,Fantasy"
9148,Madea's Witness Protection,2012,2012,1h 54m,Tyler Perry,Tyler Perry,"Tyler Perry,Eugene Levy,Denise Richards",5.0,"Comedy,Crime,Drama"
9149,Magic Mike,2012,2012,1h 50m,Steven Soderbergh,Reid Carolin,"Channing Tatum,Alex Pettyfer,Olivia Munn",6.1,"Comedy,Drama"
9150,People Like Us,2012,1993,2h 5m,Jonathan Demme,Ron Nyswaner,"Tom Hanks,Denzel Washington,Roberta Maxwell",7.7,Drama
9151,Ted,2012,,,,,,,
9152,A Burning Hot Summer,2012,2011,1h 35m,Philippe Garrel,"Marc Cholodenko,Caroline Deruas-Garrel,Philippe Garrel","Monica Bellucci,Louis Garrel,Céline Sallette",5.1,Drama
9153,Last Ride,2012,2009,1h 30m,Glendyn Ivin,"Mac Gudgeon,Denise Young","Hugo Weaving,Tom Russell,Anita Hegh",6.7,"Crime,Drama"
9154,Neil Young Journeys,2012,2011,1h 27m,,,,6.5,"Documentary,Music"
9155,Take This Waltz,2012,2011,1h 56m,Sarah Polley,Sarah Polley,"Michelle Williams,Seth Rogen,Sarah Silverman",6.6,"Comedy,Drama"
